
%NQSII(INFO): ------- Output from job:0000 -------
       1.312s 0001 Spinup Function norm 2.228472721859e+01
       1.262s 0002 Spinup Function norm 1.286500993446e+01
       1.247s 0000 Spinup Function norm 4.328962677595e+01
       1.240s 0001 Spinup Function norm 2.228472721859e+01
       1.223s 0002 Spinup Function norm 1.286500993446e+01
       1.236s 0000 Spinup Function norm 4.328962677595e+01
       1.272s 0001 Spinup Function norm 2.228472721859e+01
       1.252s 0002 Spinup Function norm 1.286500993446e+01
       1.220s 0000 Spinup Function norm 4.328962677595e+01
       1.226s 0001 Spinup Function norm 2.228472721859e+01
       1.210s 0002 Spinup Function norm 1.286500993446e+01
       1.213s 0000 Spinup Function norm 4.328962677595e+01
       1.216s 0001 Spinup Function norm 2.228472721859e+01
       1.201s 0002 Spinup Function norm 1.286500993446e+01
       1.213s 0000 Spinup Function norm 4.328962677595e+01
       1.216s 0001 Spinup Function norm 2.228472721859e+01
       1.203s 0002 Spinup Function norm 1.286500993446e+01
       1.250s 0000 Spinup Function norm 4.328962677595e+01
       1.235s 0001 Spinup Function norm 2.228472721859e+01
       1.223s 0002 Spinup Function norm 1.286500993446e+01
       1.191s 0000 Spinup Function norm 4.328962677595e+01
       1.204s 0001 Spinup Function norm 2.228472721859e+01
       1.189s 0002 Spinup Function norm 1.286500993446e+01
       1.176s 0000 Spinup Function norm 4.328962677595e+01
       1.185s 0001 Spinup Function norm 2.228472721859e+01
       1.172s 0002 Spinup Function norm 1.286500993446e+01
       1.177s 0000 Spinup Function norm 4.328962677595e+01
       1.172s 0001 Spinup Function norm 2.228472721859e+01
       1.165s 0002 Spinup Function norm 1.286500993446e+01
       1.162s 0000 Spinup Function norm 4.328962677595e+01
       1.170s 0001 Spinup Function norm 2.228472721859e+01
       1.160s 0002 Spinup Function norm 1.286500993446e+01
       1.175s 0000 Spinup Function norm 4.328962677595e+01
       1.176s 0001 Spinup Function norm 2.228472721859e+01
       1.168s 0002 Spinup Function norm 1.286500993446e+01
       1.165s 0000 Spinup Function norm 4.328962677595e+01
       1.157s 0001 Spinup Function norm 2.228472721859e+01
       1.152s 0002 Spinup Function norm 1.286500993446e+01
       1.138s 0000 Spinup Function norm 4.328962677595e+01
       1.150s 0001 Spinup Function norm 2.228472721859e+01
       1.139s 0002 Spinup Function norm 1.286500993446e+01
       1.147s 0000 Spinup Function norm 4.328962677595e+01
       1.158s 0001 Spinup Function norm 2.228472721859e+01
       1.140s 0002 Spinup Function norm 1.286500993446e+01
       1.141s 0000 Spinup Function norm 4.328962677595e+01
       1.149s 0001 Spinup Function norm 2.228472721859e+01
       1.132s 0002 Spinup Function norm 1.286500993446e+01
       1.139s 0000 Spinup Function norm 4.328962677595e+01
       1.143s 0001 Spinup Function norm 2.228472721859e+01
       1.123s 0002 Spinup Function norm 1.286500993446e+01
       1.117s 0000 Spinup Function norm 4.328962677595e+01
